closest_distance_km,relative_velocity_km_s,altitude_difference_km,time_to_closest_sec,priority_difference,collision_risk
11.781,8.475,20.813,1268,2,0
2.105,6.053,0.92,2741,2,0
10.741,8.196,9.068,1073,1,0
15.317,8.782,14.187,1884,0,0
11.588,7.55,51.355,1589,0,0
14.906,8.311,1.788,1557,1,0
17.043,10.424,31.537,664,3,0
13.136,7.05,0.552,876,1,0
11.605,5.207,36.238,2702,4,0
9.564,9.683,34.657,1736,5,0
2.957,3.3,23.458,1590,1,1
9.191,11.167,2.362,1871,0,0
7.314,5.897,25.892,625,10,0
11.138,6.704,11.455,2337,9,0
12.655,6.805,20.317,1243,4,0
3.587,7.204,5.956,2201,1,0
15.613,9.947,9.508,2040,4,0
10.898,8.809,32.199,3557,1,0
12.566,7.036,22.813,1882,0,0
18.568,9.496,17.342,1894,5,0
7.766,5.399,23.899,1875,0,0
13.135,10.229,8.395,1001,1,0
0.688,7.454,15.693,264,4,1
6.196,3.854,6.979,1368,1,0
14.68,12.421,7.236,1548,5,0
16.115,3.115,31.29,1976,4,0
10.574,10.089,25.494,2049,0,0
9.195,6.493,4.696,2092,0,0
6.835,7.296,5.199,529,0,0
18.593,8.86,4.065,2544,0,0
13.502,6.652,24.074,1323,2,0
4.276,5.957,5.853,1698,1,0
13.284,6.05,20.207,1791,1,0
12.382,6.351,11.138,942,2,0
4.476,1.304,25.363,1153,0,0
5.152,7.198,21.502,1362,0,0
6.348,7.973,18.325,2946,2,0
4.128,5.237,37.371,1916,0,0
15.996,9.525,24.188,593,4,0
13.26,8.888,21.618,2384,1,1
6.452,4.962,11.096,2653,0,0
18.598,9.613,7.346,3000,5,1
9.236,6.179,7.498,1508,1,0
12.524,7.173,33.3,1200,2,0
9.923,7.464,3.764,2924,0,0
8.239,6.128,11.964,1775,0,0
11.21,8.207,33.426,1806,2,0
5.357,5.468,22.256,690,0,0
16.151,4.388,35.073,1897,0,0
17.857,8.523,46.672,1416,7,0
13.455,6.337,44.674,2207,3,0
14.015,8.041,40.92,1519,0,0
